Iteration,ExplainedVariance,MaxReturn,MinReturn,dLoss,LossBefore,StdReturn,LossAfter,MeanKL,Perplexity,AverageDiscountedReturn,AverageReturn,Entropy,NumTrajs,MeanKLBefore
108,0.906610806758,-8020.0,-8020.0,0.0200906986557,-0.0218755846513,0.0,-0.0419662833071,0.00915597720238,4.13595992924,-910.247233625,-8020.0,1.41971944887,3,0.00724589739731
109,0.765960544836,-5538.75,-8020.0,0.0,0.00365810797475,1013.27559457,0.00365810797475,0.0103867576503,4.38949189913,-701.806447583,-6797.08333333,1.47921347987,3,0.0103867576503
110,0.958740811135,-8020.0,-8020.0,0.0141192497012,0.0167530289726,0.0,0.00263377927138,0.00884121529563,4.12159047998,-910.247233625,-8020.0,1.4162391277,3,0.00533240793298
111,0.994274199216,-8020.0,-8020.0,0.0144258437195,-0.0109507524326,0.0,-0.0253765961521,0.00899135439306,4.17497938959,-910.247233625,-8020.0,1.42910942167,3,0.00586947942069
112,0.994329838793,-8020.0,-8020.0,0.0140095334925,0.00681712146528,0.0,-0.00719241202719,0.00821301918587,4.13181023365,-910.247233625,-8020.0,1.41871562418,3,0.00502307973118
113,0.992554881138,-8020.0,-8020.0,0.0211590938058,0.00793543891985,0.0,-0.013223654886,0.00985519027765,4.07726178613,-910.247233625,-8020.0,1.40542563226,3,0.00550437715729
114,0.991628997313,-8020.0,-8020.0,0.0135660886098,-0.0116122947682,0.0,-0.025178383378,0.00969557950542,4.14126504643,-910.247233625,-8020.0,1.42100130793,3,0.00557050286716
115,0.993037476233,-8020.0,-8020.0,0.0120522652345,0.00750617084618,0.0,-0.00454609438827,0.00931606879738,4.07908947899,-910.247233625,-8020.0,1.4058737966,3,0.0052868155685
116,0.994386354649,-8020.0,-8020.0,0.0109212813677,0.0032644535,0.0,-0.00765682786772,0.00964363313391,4.06586418243,-910.247233625,-8020.0,1.40262631141,3,0.00500671011982
117,0.99382950793,-8020.0,-8020.0,0.0143961434388,0.00353650302707,0.0,-0.0108596404117,0.00921765109182,4.02571409148,-910.247233625,-8020.0,1.39270230917,3,0.00440669695196
118,0.992816397998,-8020.0,-8020.0,0.0158653603198,-0.00505315543605,0.0,-0.0209185157559,0.0096268291645,4.26103680608,-910.247233625,-8020.0,1.44951251238,3,0.00260992753762
119,0.994275072363,-8020.0,-8020.0,0.01307097278,-0.00797454821723,0.0,-0.0210455209973,0.00853615683712,4.3467615215,-910.247233625,-8020.0,1.46943109002,3,0.0053953459875
120,0.992590624758,-8020.0,-8020.0,0.0185595103023,-0.000550419650958,0.0,-0.0191099299533,0.00859407735547,3.66493962686,-910.247233625,-8020.0,1.29881186231,3,0.00489477970102
121,0.993969544273,-8020.0,-8020.0,0.0133563372204,-0.00156837513005,0.0,-0.0149247123504,0.00969486904281,3.90087146093,-910.247233625,-8020.0,1.3611999797,3,0.00690525117899
122,0.993639129669,-8020.0,-8020.0,0.0129847945837,0.0061103411997,0.0,-0.00687445338401,0.00921021937601,4.2222929074,-910.247233625,-8020.0,1.44037832348,3,0.00759787366904
